id,author,author_type,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,district,street,underground,residential_complex,price
595,Максим Самойлов,realtor,Санкт-Петербург,sale,flat,4,11,3,99.3,Василеостровский,набережная Реки Смоленки,Василеостровская,Самоцветы,32.5
596,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,4,7,2,91.0,Пресненский,Малый Козихинский переулок,Пушкинская,,135.993899
597,Intermark Real Estate,real_estate_agent,Москва,sale,flat,3,9,3,160.0,Тверской,Самотечная ,Цветной бульвар,,66.97
598,Основа,developer,Москва,sale,flat,-1,-1,-1,202.0,Красносельский,проспект Академика Сахарова,Красные ворота,RED7,51.52
599,MR Group,developer,Москва,sale,flat,26,57,1,39.46,Филевский парк,,Фили,Фили Сити ЖК,25.625504
600,ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,Москва,sale,flat,30,43,1,46.0,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,Сердце Столицы,29.9
601,Петербургская Недвижимость,representative_developer,Санкт-Петербург,sale,flat,4,17,1,31.21,Невский,Невский,Проспект Большевиков,Пульс Премьер ЖК,7.95006
602,Станислав Дикарев,realtor,Санкт-Петербург,sale,flat,27,27,1,28.7,Выборгский, Архитектора Белова,Парнас,Парнас,4.3
603,РГ-Девелопмент,developer,Москва,sale,flat,2,26,2,53.7,Соколиная гора,,Соколиная гора,Семеновский Парк 2 ЖК,17.04975
604,СИТИ21,developer,Москва,sale,flat,11,15,3,123.4,Останкинский,проспект Мира,Алексеевская,Hill8,49.656907
605,Contact Real Estate,real_estate_agent,Москва,sale,flat,5,7,4,160.0,Якиманка, Большая Полянка,Полянка,Полянка/44,183.0
606,Kalinka Group,real_estate_agent,Москва,sale,flat,24,24,-1,232.0,Можайский,Можайское шоссе,Рабочий посёлок,,65.0
607,Ольга Логинова,realtor,Санкт-Петербург,sale,flat,3,3,3,87.4,Адмиралтейский,Большая Морская ,Адмиралтейская,,28.5
608,Forma,developer,Москва,sale,flat,2,29,2,76.6,Печатники,Южнопортовая ,Печатники,Portland,32.23619
609,BEYOND. ex-Engel  Volkers,real_estate_agent,Санкт-Петербург,sale,flat,6,9,-1,229.0,Центральный,Шпалерная ,Чернышевская,,150.0
610,Диалог Риэлт,real_estate_agent,Москва,sale,flat,5,5,2,42.5,Гагаринский,Ленинский проспект,Ленинский проспект,,13.1
611,Whitewill,real_estate_agent,Москва,sale,flat,9,21,3,108.0,Пресненский,2-я Звенигородская ,Улица 1905 года,Lucky,125.0
612,BEYOND. ex-Engel  Volkers,real_estate_agent,Санкт-Петербург,sale,flat,9,9,-1,206.0,Центральный,Шпалерная ,,,149.0
613,Point Estate Город,real_estate_agent,Москва,sale,flat,4,28,2,70.0,Кунцево, Академика Павлова,Молодёжная,Академика Павлова,45.5
614,Point Estate Город,real_estate_agent,Москва,sale,flat,1,8,5,219.2,Гагаринский, Косыгина,Ленинский проспект,Дом Академии Наук РАН,195.0
615,VOSHOD,developer,Москва,sale,flat,8,17,2,71.8,Филевский парк, Василисы Кожиной,Филёвский парк,AHEAD,43.99186
616,MR Group,developer,Москва,sale,flat,2,48,2,56.51,Покровское-Стрешнево,Волоколамское шоссе,Трикотажная,City Bay,17.233154
617,Александр Сазонов,realtor,Москва,sale,flat,1,5,-1,15.0,Беговой, Новая Башиловка,Динамо,,5.0
618,Базис,developer,Санкт-Петербург,sale,flat,6,12,3,96.0,Приморский,Белоостровская ,Лесная,Белый остров,28.449
619,Sminex,developer,Москва,sale,flat,15,21,2,60.14,Марфино, Академика Королева,Бутырская,Дом Достижение,30.2
620,Forma,developer,Москва,sale,flat,15,29,3,79.5,Аэропорт,Часовая ,Сокол,SOUL,33.54105
621,Гранит Инвест,real_estate_agent,Санкт-Петербург,sale,flat,8,14,3,109.2,Василеостровский,набережная Реки Смоленки,Приморская,Айно,26.97244
622,Whitewill Москва-Сити,real_estate_agent,Москва,sale,flat,46,75,2,114.0,Пресненский,1-й Красногвардейский проезд,Деловой центр,Меркурий Тауэр,86.0
623,Capital Group,developer,Москва,sale,flat,11,18,2,49.2,Дорогомилово,,Выставочная,Бадаевский ЖК,52.968289
624,Intermark Real Estate,real_estate_agent,Москва,sale,flat,17,21,3,119.7,Пресненский,Большой Тишинский переулок,Баррикадная,"Большой Тишинский переулок, 10с1",97.0
625,Sminex,developer,Москва,sale,flat,13,14,1,44.6,Раменки,проспект Генерала Дорохова,Ломоносовский проспект,Собрание клубных домов West Garden,27.66
626,Contact Real Estate,real_estate_agent,Москва,sale,flat,9,21,3,108.0,Пресненский,2-я Звенигородская ,Улица 1905 года,Lucky,125.0
627,Verges of estate,real_estate_agent,Москва,sale,flat,18,31,4,180.0,Очаково-Матвеевское,Нежинская ,Славянский бульвар,Кутузовская Ривьера,108.0
628,ANT Development,developer,Москва,sale,flat,2,13,2,67.5,Дорогомилово,,Парк Победы,Виктори Парк Резиденсез ЖК,59.572049
629,Ташир,developer,Москва,sale,flat,4,21,2,47.9,Очаково-Матвеевское,Аминьевское шоссе,Давыдково,West Tower (Апартаменты бизнес-класса),15.4717
630,GloraX,developer,Москва,sale,flat,2,21,2,76.65,Беговой, 1-я Ямского Поля,Белорусская,GloraX Premium Белорусская,37.239999
631,Анна Кожедуб,realtor,Санкт-Петербург,sale,flat,3,5,4,48.2,Кировский,Трамвайный проспект,Ленинский проспект,,6.45
632,ФСК Агент,real_estate_agent,Москва,sale,flat,27,46,3,99.8,Обручевский, Академика Волгина,Калужская,Архитектор,33.0
633,Этажи Москва,real_estate_agent,Москва,sale,flat,5,9,1,32.9,Ломоносовский, Гарибальди,Новаторская,,13.95
634,КОРТРОС,developer,Москва,sale,flat,3,49,2,58.78,Марьина роща, Веткина,Марьина Роща,TATE,21.1608
635,St Michael,developer,Москва,sale,flat,7,21,-1,28.12,Хорошевский, Зорге,Зорге,Зорге 9,13.75213
636,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,7,9,1,42.7,Петроградский,Петровский проспект,Спортивная,Neva Haus,16.62738
637,ЛюксДом,real_estate_agent,Москва,sale,flat,5,21,4,136.7,Пресненский, Костикова,Улица 1905 года,Lucky,144.0
638,Леонид Баклагин,realtor,Санкт-Петербург,sale,flat,3,6,-1,179.0,Петроградский,проспект Большой Петроградской стороны,Петроградская,,24.165
639,Этажи Москва,real_estate_agent,Москва,sale,flat,5,5,3,57.8,, Авиаторов,Бунинская аллея,,8.74
640,Whitewill,real_estate_agent,Москва,sale,flat,17,41,3,88.3,Хорошевский,Ленинградский проспект,Аэропорт,Прайм Парк,57.0
641,Neva Towers,developer,Москва,sale,flat,65,66,1,45.5,Пресненский,1-й Красногвардейский проезд,Выставочная,NEVA TOWERS,50.869
642,ЦАО НЕДВИЖИМОСТЬ,real_estate_agent,Москва,sale,flat,20,78,2,62.0,Пресненский,1-й Красногвардейский проезд,Тестовская,NEVA TOWERS,54.5
643,ID 89672563,homeowner,Санкт-Петербург,sale,flat,20,26,3,80.0,Приморский,проспект Королева,Пионерская,Зенит,17.7
644,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,2,12,2,58.3,Красногвардейский,Партизанская ,,ЛСР. Большая Охта,15.23379
645,BARNES International Realty,real_estate_agent,Москва,sale,flat,3,8,5,262.0,Пресненский,Богословский переулок,Пушкинская,Сытинский,534.909339
646,РГ-Девелопмент,developer,Москва,sale,flat,2,27,2,57.1,Щукино, Берзарина,Щукинская,Октябрьское поле,19.38545
647,ID 85604823,unknown,Москва,sale,flat,3,8,3,76.0,Пресненский,Шмитовский проезд,Шелепиха,Headliner,38.0
648,Level Group,developer,Москва,sale,flat,17,24,3,81.5,Покровское-Стрешнево,проезд Проектируемый № 3959,Трикотажная,Апартаментный комплекс Level Стрешнево,20.335894
649,LEGENDA Intelligent Development,developer,Санкт-Петербург,sale,flat,7,20,3,173.2,Выборгский,аллея Академика Лихачева,Площадь Мужества,"Институтский, 16",55.75308
650,NF GROUP  St Petersburg,real_estate_agent,Санкт-Петербург,sale,flat,3,8,3,96.0,Центральный,Парадная ,Чернышевская,Парадный квартал,54.0
651,ID 3192,realtor,Москва,sale,flat,6,12,1,33.0,Строгино, Исаковского,Строгино,,10.4
652,Whitewill,real_estate_agent,Москва,sale,flat,6,6,2,136.0,Раменки,Минская ,Минская,Золотые Ключи 1,43.0
653,Наталья Шилина,realtor,Санкт-Петербург,sale,flat,9,9,3,59.6,Невский,проспект Большевиков,Проспект Большевиков,,9.0
654,Елена Фирсина,realtor,Санкт-Петербург,sale,flat,6,24,1,33.8,Невский, Русановская,Ломоносовская,ЦДС Приневский,6.1
655,PROНЕДВИЖИМОСТЬ,real_estate_agent,Москва,sale,flat,3,19,1,31.3,Басманный,Малая Почтовая ,Бауманская,MYPRIORITY Basmanny,19.8
656,Whitewill,real_estate_agent,Москва,sale,flat,24,24,2,57.4,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,Сердце Столицы,39.3
657,Whitewill,real_estate_agent,Москва,sale,flat,18,25,3,98.0,Очаково-Матвеевское,Нежинская ,Минская,Городские резиденции SPIRES,66.5
658,Арсенал-Недвижимость,developer,Санкт-Петербург,sale,flat,2,12,2,68.56,Приморский, Плесецкая,Комендантский проспект,Ariosto!,16.882215
659,MR Group,developer,Москва,sale,flat,25,27,1,23.8,Даниловский,Дубининская ,Серпуховская,Павелецкая Сити,18.933683
660,Ташир,developer,Москва,sale,flat,10,21,2,53.1,Очаково-Матвеевское,Аминьевское шоссе,Давыдково,West Tower (Апартаменты бизнес-класса),17.3637
661,AAG,developer,Санкт-Петербург,sale,flat,3,12,1,40.9,Красногвардейский,проспект Шаумяна,Новочеркасская,Alter,16.826477
662,Level Group,developer,Москва,sale,flat,15,26,2,40.1,Нагатино-Садовники,1-й Нагатина кв-л,Нагатинская,Левел Нагатинская ЖК,16.83401
663,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,3,6,5,145.8,Пресненский,Скатертный переулок,Арбатская,,208.523979
664,MR Group,developer,Москва,sale,flat,34,41,3,92.02,Раменки,1-й Сетуньский проезд,Лужники,Hide,59.794071
665,BEYOND. ex-Engel  Volkers,real_estate_agent,Санкт-Петербург,sale,flat,4,7,3,133.8,Петроградский,Депутатская ,,Венеция,134.0
666,ФОРА,real_estate_agent,Москва,sale,flat,4,6,1,39.3,Хорошевский,2-й Хорошевский проезд,Полежаевская,,15.7
667,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,3,6,3,68.2,Таганский, Станиславского,Таганская,,108.795119
668,Гранит Инвест,real_estate_agent,Санкт-Петербург,sale,flat,7,14,2,56.0,Василеостровский,набережная Реки Смоленки,Приморская,Айно,15.4
669,MR Group,developer,Москва,sale,flat,31,41,2,64.87,Раменки,1-й Сетуньский проезд,Лужники,Hide,40.753196
670,ID 96355318,homeowner,Санкт-Петербург,sale,flat,4,13,1,40.8,Приморский,Земледельческая ,Лесная,Terra,14.7
671,Вторичка Групп,real_estate_agent,Санкт-Петербург,sale,flat,2,5,1,15.66,Кировский,проспект Стачек,Кировский завод,,2.805
672,Времена года,real_estate_agent,Москва,sale,flat,10,21,3,104.55,Пресненский,2-я Звенигородская ,Улица 1905 года,Lucky,115.0
673,Космополис,real_estate_agent,Москва,sale,flat,1,9,1,36.7,Дмитровский,Карельский бульвар,,,9.0
674,BARNES International Realty,real_estate_agent,Москва,sale,flat,3,15,3,94.0,Пресненский,Зоологическая ,Баррикадная,,35.0
675,Альфа Фаберже,developer,Санкт-Петербург,sale,flat,6,8,1,54.4,Петроградский,набережная Реки Карповки,Петроградская,Клубный дом MELTZER HALL,27.2
676,Verges of estate,real_estate_agent,Москва,sale,flat,3,12,5,238.0,Раменки,Мосфильмовская ,Ломоносовский проспект,Вишневый сад,296.0
677,Whitewill,real_estate_agent,Москва,sale,flat,4,23,3,120.0,Аэропорт,Часовая ,Сокол,Весна на Балтийском,56.0
678,Exclusive Realty,real_estate_agent,Москва,sale,flat,9,27,3,72.0,Раменки, Янковского,,,47.49
679,Premium Moscow,real_estate_agent,Москва,sale,flat,9,14,5,195.3,Хамовники, Усачева,Спортивная,Садовые кварталы,312.48
680,Илья Белоусов,realtor,Санкт-Петербург,sale,flat,9,18,-1,35.38,Фрунзенский, Салова,Бухарестская,Комплекс апартаментов Valo City,9.23418
681,Основа,developer,Москва,sale,flat,-1,-1,-1,41.3,Хорошево-Мневники,2-й Силикатный проезд,Полежаевская,Emotion,16.87518
682,Группа Аквилон,developer,Санкт-Петербург,sale,flat,7,12,1,39.04,Московский,Звёздное,Звездная,Аквилон Leaves,10.654211
683,NEXT,real_estate_agent,Санкт-Петербург,sale,flat,12,14,2,51.13,Приморский,Вазаский переулок,Черная речка,ЦДС Черная речка,15.55
684,Whitewill,real_estate_agent,Москва,sale,flat,38,48,4,171.7,Щукино,Авиационная ,Щукинская,Алые Паруса,95.0
685,Петербургская Недвижимость,representative_developer,Санкт-Петербург,sale,flat,10,12,1,29.94,Московский,Новоизмайловское,,Титул в Московском,8.600235
686,St Michael,developer,Москва,sale,flat,14,21,2,58.28,Хорошевский,,Полежаевская,Зорге 9 ЖК,26.81238
687,NIKA ESTATE,real_estate_agent,Москва,sale,flat,40,60,4,175.0,Пресненский,набережная Пресненская,Деловой центр,Imperia Tower,243.0
688,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,3,15,3,95.0,Пресненский,Зоологическая ,Баррикадная,,35.0
689,Агент Метрум,realtor,Санкт-Петербург,sale,flat,6,9,1,28.6,Калининский,Лесной проспект,Выборгская,iLona,8.7
690,Verges of estate,real_estate_agent,Москва,sale,flat,44,53,4,158.0,Раменки,Мосфильмовская ,Минская,Дом на Мосфильмовской,95.0
691,MR Group,developer,Москва,sale,flat,24,54,2,61.18,Хорошево-Мневники, Мневники,Полежаевская,JOIS,30.956162
692,Whitewill,real_estate_agent,Москва,sale,flat,31,53,3,82.5,Хорошево-Мневники, Народного Ополчения,Народное Ополчение,Wellton Towers,49.5
693,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,5,18,4,163.7,Пресненский,Средний Тишинский переулок,Белорусская,Дом на Тишинке,165.0
694,Delight  Realty,real_estate_agent,Москва,sale,flat,4,6,3,143.7,Пресненский,Большой Гнездниковский переулок,Пушкинская,Респект,167.0
695,LEGENDA Development,developer,Санкт-Петербург,sale,flat,2,9,3,87.23,Василеостровский,20-я Васильевского острова линия,Василеостровская,"Большой, 67",34.900723
696,Sense Development,developer,Москва,sale,flat,3,13,2,63.3,Даниловский,Подольское шоссе,Тульская,Logos,33.59729
697,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,16,19,2,50.6,Красногвардейский,м. Гражданский проспект,Гражданский проспект,Ручьи ЖК,9.0321
698,White and Broughton,real_estate_agent,Москва,sale,flat,3,40,1,45.5,Хорошевский,Ленинградский проспект,Динамо,Прайм Парк,32.3
699,ID 1099678,homeowner,Санкт-Петербург,sale,flat,8,16,3,104.3,Красносельский,шоссе Красносельское,Проспект Ветеранов,Дудергофская линия 3,12.9
700,Intermark Real Estate,real_estate_agent,Москва,sale,flat,5,6,4,95.0,Арбат, Арбат,Смоленская,,64.0
701,Verges of estate,real_estate_agent,Москва,sale,flat,31,53,4,163.0,Раменки,Мосфильмовская ,Минская,Дом на Мосфильмовской,175.0
702,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,12,12,1,57.9,Московский,Московское шоссе,Звездная,NEOPARK,13.16067
703,EraOneHolding,developer,Москва,sale,flat,3,5,2,178.6,Арбат, Арбат,Смоленская,Artisan,150.4
704,BARNES International Realty,real_estate_agent,Москва,sale,flat,2,6,2,57.2,Пресненский,Большой Предтеченский переулок,Краснопресненская,,54.34
705,MR Group,developer,Москва,sale,flat,18,41,1,37.7,Даниловский,Дубининская ,Павелецкая,Павелецкая Сити,24.335267
706,ID 39404589,developer,Москва,sale,flat,4,27,1,41.9,Даниловский,,Серпуховская,Era,21.96817
707,Unique,real_estate_agent,Москва,sale,flat,20,22,5,150.0,Академический,Новочеремушкинская ,Академическая,Новочеремушкинская 17,105.9
708,Елена Минакова,realtor,Санкт-Петербург,sale,flat,6,9,3,181.0,Петроградский,Кемская ,Крестовский остров,,78.99
709,Msk Estate,real_estate_agent,Москва,sale,flat,7,22,1,16.8,Тропарево-Никулино,Ленинский проспект,Юго-Западная,,7.8
710,MHEstate - Элитная недвижимость,real_estate_agent,Москва,sale,flat,10,18,3,105.6,Дорогомилово,Кутузовский проспект,Выставочная,Бадаевский,89.9
711,Gethome,real_estate_agent,Москва,sale,flat,8,9,4,150.0,Раменки,Мосфильмовская ,Ломоносовский проспект,Вишневый сад,231.5235
712,Мангазея,developer,Москва,sale,flat,10,21,2,66.8,Щукино,Щукинская ,Стрешнево,Интонация,34.068
713,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,6,8,2,57.47,Петроградский,Петровский,Чкаловская,Нева Резиденс ЖК,20.143235
714,ЛюксДом,real_estate_agent,Москва,sale,flat,2,5,2,75.1,Замоскворечье,Большой Ордынский переулок,Третьяковская,Собрание клубных домов ORDYNKA,84.5
715,Петербургская Строительная Компания,developer,Санкт-Петербург,sale,flat,7,25,2,52.06,Приморский,Коломяги,Озерки,Френдс ЖК,10.419907
716,Группа Аквилон,developer,Санкт-Петербург,sale,flat,3,13,1,37.6,Приморский,Планерная ,Комендантский проспект,FoRest Аквилон,9.317922
717,Рикэл,developer,Санкт-Петербург,sale,flat,24,25,3,108.5,Калининский,Светлановский проспект,Гражданский проспект,Эврика,22.9
718,Forma,developer,Москва,sale,flat,13,20,3,68.8,Даниловский,Автозаводская ,Тульская,FORST,27.128511
719,Ринкон,real_estate_agent,Санкт-Петербург,sale,flat,6,9,1,32.3,Калининский, Демьяна Бедного,Гражданский проспект,,6.0
720,Вам к нам,real_estate_agent,Санкт-Петербург,sale,flat,8,10,1,40.7,Приморский,Белоостровская ,Черная речка,Domino,13.85
721,Вторичка Групп,real_estate_agent,Санкт-Петербург,sale,flat,2,5,1,18.83,Адмиралтейский,Лермонтовский проспект,Балтийская,,3.385
722,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,11,12,-1,41.8,Московский,Московское шоссе,Звездная,NEOPARK,9.15002
723,Verges of estate,real_estate_agent,Москва,sale,flat,19,53,4,145.0,Раменки,Мосфильмовская ,Ломоносовский проспект,Дом на Мосфильмовской,97.0
724,Центр-Инвест,developer,Москва,sale,flat,2,35,2,41.8,Левобережный,Фестивальная ,Речной вокзал,Фестиваль парк-2,17.32518
725,Сбербанк Капитал,developer,Москва,sale,flat,2,7,2,112.8,Якиманка,Софийская набережная,Новокузнецкая,Резиденция 1864,106.945102
726,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,6,25,1,30.21,Красногвардейский,м. Гражданский проспект,Гражданский проспект,Ручьи ЖК,5.362275
727,Level Group,developer,Москва,sale,flat,24,26,3,62.5,Нагатино-Садовники,1-й Нагатина кв-л,Нагатинская,Левел Нагатинская ЖК,24.354453
728,Ленстройтрест,developer,Санкт-Петербург,sale,flat,2,7,2,62.26,Приморский,шоссе Суздальское,Проспект Просвещения,Окла,12.79041
729,Apple Real Estate,real_estate_agent,Москва,sale,flat,5,6,4,95.0,Арбат, Арбат,Смоленская,,64.0
730,Славянский Двор Остоженка,real_estate_agent,Москва,sale,flat,5,23,3,128.0,Очаково-Матвеевское,Староволынская ,Славянский бульвар,Волынский,73.5
731,Винидиктов и Партнеры,real_estate_agent,Москва,sale,flat,14,22,3,62.0,Очаково-Матвеевское,Нежинская ,Славянский бульвар,Городские резиденции SPIRES,55.0
732,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,3,9,3,160.0,Тверской,Самотечная ,Цветной бульвар,,66.97
733,Intermark Real Estate,real_estate_agent,Москва,sale,flat,6,23,4,160.0,Очаково-Матвеевское,Староволынская ,Давыдково,Волынский,99.999
734,BARNES International Realty,real_estate_agent,Москва,sale,flat,6,21,3,91.5,Филевский парк,Береговой проезд,Фили,Фили Град,43.9
735,VESPER,developer,Москва,sale,flat,-1,-1,-1,1.0,Пресненский, Костикова,Улица 1905 года,Lucky,78.259545
736,Главстрой,developer,Москва,sale,flat,2,29,3,111.6,Филевский парк,Береговой проезд,Шелепиха,Береговой,45.392828
737,Унистрой,developer,Санкт-Петербург,sale,flat,2,10,3,103.9,Красногвардейский,Большая Охта,Площадь Ленина,Юпоинт ЖК,26.93
738,ЖИR Private,real_estate_agent,Москва,sale,flat,11,16,4,119.0,Хорошево-Мневники,3-я Хорошевская ,Зорге,Хорошевский,57.5
739,ID 107867813,realtor,Санкт-Петербург,sale,flat,5,11,2,74.9,Василеостровский,проспект Средний Васильевского острова,Василеостровская,Клубные апартаменты Next,18.70935
740,Whitewill,real_estate_agent,Москва,sale,flat,2,6,2,75.0,Замоскворечье,Большой Ордынский переулок,Третьяковская,Собрание клубных домов ORDYNKA,84.75
741,ID 104795526,official_representative,Санкт-Петербург,sale,flat,3,4,1,29.6,Красносельский,Стрельнинское шоссе,Ленинский проспект,,4.921
742,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,4,15,2,67.4,Невский,Октябрьская набережная,Елизаровская,Цивилизация на Неве,17.53074
743,Contact Real Estate,real_estate_agent,Москва,sale,flat,14,15,5,237.7,Хамовники, Усачева,Фрунзенская,Садовые кварталы,380.32
744,ID 14953,realtor,Москва,sale,flat,13,14,3,92.0,Таганский,Гончарная ,,,76.999999
745,Никита Гаврилов,realtor,Москва,sale,flat,15,18,2,59.0,Люблино, Марьинский Парк,Люблино,,14.15
746,Базис,developer,Санкт-Петербург,sale,flat,11,12,1,39.4,Приморский,Белоостровская ,Лесная,Белый остров,15.444
747,БЦ-Аренда,real_estate_agent,Москва,sale,flat,3,4,3,102.5,Арбат,Серебряный переулок,Арбатская,,44.0
748,Елена Мурашова,realtor,Санкт-Петербург,sale,flat,3,4,2,52.2,Выборгский,Лесной проспект,Выборгская,,8.95
749,Агент Метрум,realtor,Санкт-Петербург,sale,flat,2,8,1,31.4,Петроградский,Петровский,Спортивная,17/33 Петровский остров,16.999
750,TimeProperty,real_estate_agent,Москва,sale,flat,4,10,2,48.5,Покровское-Стрешнево,Северо-Западный ао,Спартак,Клубный Город на Реке Примавера ЖК,21.0
751,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,17,17,1,38.57,Василеостровский,Гавань,Приморская,Морская Набережная ЖК,11.651997
752,ID 413522,realtor,Москва,sale,flat,11,21,3,95.0,Пресненский,2-я Звенигородская ,Улица 1905 года,Lucky,99.5
753,Татьяна Корсунь,realtor,Санкт-Петербург,sale,flat,14,26,1,28.1,Приморский,Мебельная ,Беговая,Токио,7.5
754,Татьяна Каюкова,realtor,Санкт-Петербург,sale,flat,5,5,1,31.0,Красногвардейский,Таллинская ,Новочеркасская,,5.9
755,Life Style,real_estate_agent,Москва,sale,flat,34,78,2,76.1,Пресненский,1-й Красногвардейский проезд,Тестовская,NEVA TOWERS,60.0
756,Роман Корякин,realtor,Санкт-Петербург,sale,flat,2,14,3,75.67,Приморский,Студенческая ,Лесная,Terra,22.99
757,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,2,6,3,154.6,Якиманка, Большая Полянка,Полянка,Cloud Nine,208.71
758,Петербургская Строительная Компания,developer,Санкт-Петербург,sale,flat,1,5,1,22.63,Московский,Пулковский меридиан,Купчино,Плюс Пулковский ЖК,3.986054
759,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,4,25,-1,560.0,Щукино,Авиационная ,Щукинская,Алые Паруса,180.0
760,ХочуКвартиру,real_estate_agent,Санкт-Петербург,sale,flat,16,24,3,61.35,Невский,проспект Большевиков,Улица Дыбенко,Про.Молодость,7.999999
761,ID 28311522,realtor,Санкт-Петербург,sale,flat,7,7,3,89.0,Красносельский, Адмирала Трибуца,Ленинский проспект,More,18.0
762,ID 112591621,homeowner,Москва,sale,flat,32,45,4,88.8,Дорогомилово,Кутузовский проезд,Международная,River Park Кутузовский,54.5
763,ID 39404589,developer,Москва,sale,flat,2,33,3,64.7,Даниловский,,Серпуховская,Era,29.21852
764,Э.К. Девелопмент,developer,Москва,sale,flat,25,26,2,57.8,Чертаново Южное,Варшавское шоссе,Лесопарковая,Зеленая Вертикаль,16.473
765,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,4,8,3,73.11,Петроградский,Ремесленная ,Спортивная,Neva Residence,27.745245
766,Этажи Москва,real_estate_agent,Москва,sale,flat,4,21,2,54.5,Свиблово,Сельскохозяйственная ,Ботанический сад,LIFE-Ботанический сад,24.7
767,Э.К. Девелопмент,developer,Москва,sale,flat,4,25,3,85.1,Хорошевский, Маргелова,Беговая,Авиатика,34.04
768,VOSHOD,developer,Москва,sale,flat,12,17,3,108.3,Филевский парк, Василисы Кожиной,Филёвский парк,AHEAD,62.97645
769,BEYOND. ex-Engel  Volkers,real_estate_agent,Санкт-Петербург,sale,flat,1,5,2,101.6,Петроградский,набережная Гребного канала,Крестовский остров,"Комплекс резиденций ""Императорский Яхтъ-клуб""",84.858453
770,Kalinka Group,real_estate_agent,Москва,sale,flat,8,13,3,92.1,Раменки,проспект Генерала Дорохова,Минская,Собрание клубных домов West Garden,96.705
771,MR Group,developer,Москва,sale,flat,35,43,2,74.1,Западное Дегунино,Ильменский проезд,Селигерская,Селигер Сити,31.283538
772,Intermark Real Estate,real_estate_agent,Москва,sale,flat,14,20,3,94.0,Беговой,Бумажный проезд,Белорусская,Клубный дом SOHO+NOHO,53.0
773,Петербургская Недвижимость,representative_developer,Санкт-Петербург,sale,flat,1,5,1,42.8,Московский,Пулковское шоссе,Звездная,Зеленый квартал,7.750031
774,Delight  Realty,real_estate_agent,Москва,sale,flat,3,3,-1,357.2,Тверской,Долгоруковская ,Новослободская,Cameo Moscow Villas,357.0
775,Whitewill Москва-Сити,real_estate_agent,Москва,sale,flat,51,75,1,123.0,Пресненский,1-й Красногвардейский проезд,Деловой центр,Меркурий Тауэр,99.0
776,РСТИ,developer,Санкт-Петербург,sale,flat,2,9,1,29.11,Красносельский, Тамбасова,Проспект Ветеранов,Кинопарк,7.53506
777,Whitewill,real_estate_agent,Москва,sale,flat,3,5,2,69.3,Хорошевский,Ленинградский проспект,Аэропорт,Прайм Парк,50.0
778,КОРТРОС,developer,Москва,sale,flat,30,49,3,78.15,Марьина роща, Веткина,Марьина Роща,TATE,28.9155
779,ID 112819123,developer,Москва,sale,flat,-1,-1,-1,202.0,Щукино,проезд 4-й Красногорский,Стрешнево,Moments,26.94586
780,YHome,real_estate_agent,Москва,sale,flat,11,21,3,95.0,Пресненский,2-я Звенигородская ,,Lucky,99.5
781,Kalinka Group,real_estate_agent,Москва,sale,flat,5,6,3,115.0,Мещанский,Трубная ,Цветной бульвар,,81.0
782,BEYOND. ex-Engel  Volkers,real_estate_agent,Санкт-Петербург,sale,flat,1,3,-1,442.0,Петроградский,2-я Березовая аллея,Черная речка,,290.0
783,Contact Real Estate,real_estate_agent,Москва,sale,flat,14,20,-1,94.0,Беговой,Бумажный проезд,Белорусская,Клубный дом SOHO+NOHO,53.0
784,Verges of estate,real_estate_agent,Москва,sale,flat,11,14,4,95.5,Раменки,проспект Генерала Дорохова,Минская,Собрание клубных домов West Garden,54.9
785,Contact Real Estate,real_estate_agent,Москва,sale,flat,10,10,-1,481.0,Якиманка, Малая Полянка,Полянка,Онегин,365.0
786,Центр-Инвест,developer,Москва,sale,flat,12,22,2,36.8,Красносельский,Большая Спасская ,Площадь трёх вокзалов,Dialog,24.674179
787,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,2,5,2,64.0,Хамовники,Пречистенская набережная,Кропоткинская,Carré Blanc,166.4
